day_order,day,calendar_date,days_since_day1,days_since_planting,days_since_previous_photo,tray,tray_no,capture_id,grid_status,cells_processed,cells_with_valid_ndvi,cells_with_valid_ndre,mean_cell_ndvi,median_cell_ndvi,mean_cell_ndre,median_cell_ndre,mean_ndvi_positive_fraction,mean_ndre_positive_fraction,npz_path,ndvi_preview_path,ndre_preview_path,ndvi_overlay_path,ndre_overlay_path,status,notes
3,Day 3,2026-07-01,2,4,1,Tray 9,9,DJI_20260701113026_0009,PASS_AUTO,70,70,70,0.32258273575987134,0.40517643094062805,-0.02206677544028415,-0.004122283309698105,0.9105998928898771,0.4985353728558852,Day 3\Tray 9\DJI_20260701113026_0009_relative_indices.npz,Day 3\Tray 9\DJI_20260701113026_0009_ndvi_preview.png,Day 3\Tray 9\DJI_20260701113026_0009_ndre_preview.png,Day 3\Tray 9\DJI_20260701113026_0009_ndvi_polygon_overlay.png,Day 3\Tray 9\DJI_20260701113026_0009_ndre_polygon_overlay.png,PASS,All 70 polygons processed.
3,Day 3,2026-07-01,2,4,1,Tray 10,10,DJI_20260701113054_0010,PASS_AUTO,70,70,70,0.30430070204394205,0.37837859988212585,-0.03383408729652209,-0.015435678884387016,0.9091981356628478,0.48355460396830413,Day 3\Tray 10\DJI_20260701113054_0010_relative_indices.npz,Day 3\Tray 10\DJI_20260701113054_0010_ndvi_preview.png,Day 3\Tray 10\DJI_20260701113054_0010_ndre_preview.png,Day 3\Tray 10\DJI_20260701113054_0010_ndvi_polygon_overlay.png,Day 3\Tray 10\DJI_20260701113054_0010_ndre_polygon_overlay.png,PASS,All 70 polygons processed.
3,Day 3,2026-07-01,2,4,1,Tray 11,11,DJI_20260701113143_0011,PASS_AUTO,70,70,70,0.28960208935397014,0.2968810647726059,-0.05663988388675664,-0.09836168587207794,0.9072252098514139,0.4222702149923436,Day 3\Tray 11\DJI_20260701113143_0011_relative_indices.npz,Day 3\Tray 11\DJI_20260701113143_0011_ndvi_preview.png,Day 3\Tray 11\DJI_20260701113143_0011_ndre_preview.png,Day 3\Tray 11\DJI_20260701113143_0011_ndvi_polygon_overlay.png,Day 3\Tray 11\DJI_20260701113143_0011_ndre_polygon_overlay.png,PASS,All 70 polygons processed.
3,Day 3,2026-07-01,2,4,1,Tray 12,12,DJI_20260701113255_0012,PASS_AUTO,70,70,70,0.290922446336065,0.25608813762664795,-0.054645782842167784,-0.11970857158303261,0.919227608849456,0.4039672837126763,Day 3\Tray 12\DJI_20260701113255_0012_relative_indices.npz,Day 3\Tray 12\DJI_20260701113255_0012_ndvi_preview.png,Day 3\Tray 12\DJI_20260701113255_0012_ndre_preview.png,Day 3\Tray 12\DJI_20260701113255_0012_ndvi_polygon_overlay.png,Day 3\Tray 12\DJI_20260701113255_0012_ndre_polygon_overlay.png,PASS,All 70 polygons processed.
4,Day 4,2026-07-02,3,5,1,Tray 1,1,DJI_20260702125244_0001,PASS_AUTO,70,70,70,0.32089827230998447,0.3411354124546051,-0.03653019096652445,-0.07346484437584877,0.9231269430158277,0.41795886879500066,Day 4\Tray 1\DJI_20260702125244_0001_relative_indices.npz,Day 4\Tray 1\DJI_20260702125244_0001_ndvi_preview.png,Day 4\Tray 1\DJI_20260702125244_0001_ndre_preview.png,Day 4\Tray 1\DJI_20260702125244_0001_ndvi_polygon_overlay.png,Day 4\Tray 1\DJI_20260702125244_0001_ndre_polygon_overlay.png,PASS,All 70 polygons processed.
4,Day 4,2026-07-02,3,5,1,Tray 2,2,DJI_20260702125421_0002,PASS_AUTO,70,70,70,0.28702170721122194,0.25066472589969635,-0.0630533813099776,-0.12265805155038834,0.9060798956662054,0.38354324439164605,Day 4\Tray 2\DJI_20260702125421_0002_relative_indices.npz,Day 4\Tray 2\DJI_20260702125421_0002_ndvi_preview.png,Day 4\Tray 2\DJI_20260702125421_0002_ndre_preview.png,Day 4\Tray 2\DJI_20260702125421_0002_ndvi_polygon_overlay.png,Day 4\Tray 2\DJI_20260702125421_0002_ndre_polygon_overlay.png,PASS,All 70 polygons processed.
4,Day 4,2026-07-02,3,5,1,Tray 3,3,DJI_20260702125513_0003,PASS_AUTO,70,70,70,0.3016995549201965,0.29515863955020905,-0.04745643085001835,-0.08326813951134682,0.9147486784036005,0.3877246819814742,Day 4\Tray 3\DJI_20260702125513_0003_relative_indices.npz,Day 4\Tray 3\DJI_20260702125513_0003_ndvi_preview.png,Day 4\Tray 3\DJI_20260702125513_0003_ndre_preview.png,Day 4\Tray 3\DJI_20260702125513_0003_ndvi_polygon_overlay.png,Day 4\Tray 3\DJI_20260702125513_0003_ndre_polygon_overlay.png,PASS,All 70 polygons processed.
4,Day 4,2026-07-02,3,5,1,Tray 4,4,DJI_20260702125620_0004,PASS_AUTO,70,70,70,0.3112360328435898,0.2585451900959015,-0.05021151735314301,-0.10548694431781769,0.9320432154279605,0.37454983093128524,Day 4\Tray 4\DJI_20260702125620_0004_relative_indices.npz,Day 4\Tray 4\DJI_20260702125620_0004_ndvi_preview.png,Day 4\Tray 4\DJI_20260702125620_0004_ndre_preview.png,Day 4\Tray 4\DJI_20260702125620_0004_ndvi_polygon_overlay.png,Day 4\Tray 4\DJI_20260702125620_0004_ndre_polygon_overlay.png,PASS,All 70 polygons processed.
4,Day 4,2026-07-02,3,5,1,Tray 5,5,DJI_20260702125757_0005,PASS_AUTO,70,70,70,0.32292388464723315,0.37676969170570374,-0.032154057399436296,-0.06555202975869179,0.9212815772133898,0.4474321870055091,Day 4\Tray 5\DJI_20260702125757_0005_relative_indices.npz,Day 4\Tray 5\DJI_20260702125757_0005_ndvi_preview.png,Day 4\Tray 5\DJI_20260702125757_0005_ndre_preview.png,Day 4\Tray 5\DJI_20260702125757_0005_ndvi_polygon_overlay.png,Day 4\Tray 5\DJI_20260702125757_0005_ndre_polygon_overlay.png,PASS,All 70 polygons processed.
4,Day 4,2026-07-02,3,5,1,Tray 6,6,DJI_20260702125916_0006,PASS_AUTO,70,70,70,0.3395406263215201,0.41897256672382355,-0.012001502972062943,-0.011841981206089258,0.9254313158167172,0.4907670961774789,Day 4\Tray 6\DJI_20260702125916_0006_relative_indices.npz,Day 4\Tray 6\DJI_20260702125916_0006_ndvi_preview.png,Day 4\Tray 6\DJI_20260702125916_0006_ndre_preview.png,Day 4\Tray 6\DJI_20260702125916_0006_ndvi_polygon_overlay.png,Day 4\Tray 6\DJI_20260702125916_0006_ndre_polygon_overlay.png,PASS,All 70 polygons processed.
