day_order,day,calendar_date,days_since_planting,days_since_day1,days_since_previous_photo,tray,tray_no,label_code,microbe_status,treatment,label_environment,observed_environment,environment_type,watering_rule,heat_phase,moisture_watered_today,moisture_phase,day7_bug_rule_applies,capture_id,raw_green_cells,raw_green_percent,tracked_emerged_cells,tracked_emergence_percent,newly_emerged_today,newly_emerged_percent,carried_forward_cells,mean_green_area_percent,mean_rgb_green_cover_percent,possible_day7_bug_eaten_cells,overlay_path,mask_path,status,notes
4,Day 4,2/07/2026,5,3,1,Tray 2,2,N/M,No Microbes,Ideal,Outside,Outside,Fixed,Daily watering,N/A,Daily watering,Daily watering control,No,DJI_20260702125421_0002,63,90,63,90,2,2.857142857142857,0,1.968627889020498,1.968627889020498,0,Day 4\Tray 2\overlays\DJI_20260702125421_0002_visible_emergence_overlay.jpg,Day 4\Tray 2\masks\DJI_20260702125421_0002_green_mask.png,PASS,Observed values only; no Day 7 imputation performed.
4,Day 4,2/07/2026,5,3,1,Tray 3,3,N/M,No Microbes,Moisture,Outside,Outside,Fixed,Scheduled watering,N/A,No,Dry period after Day 3 watering,No,DJI_20260702125513_0003,64,91.42857142857143,65,92.85714285714286,4,5.714285714285714,1,1.1709389478646042,1.1709389478646042,0,Day 4\Tray 3\overlays\DJI_20260702125513_0003_visible_emergence_overlay.jpg,Day 4\Tray 3\masks\DJI_20260702125513_0003_green_mask.png,PASS,Observed values only; no Day 7 imputation performed.
4,Day 4,2/07/2026,5,3,1,Tray 4,4,N/M,No Microbes,Heat,Dynamic,Outside,Dynamic,Daily watering,Outside heat exposure,Daily watering,Daily watering control,No,DJI_20260702125620_0004,70,100,70,100,0,0,0,2.8634265456324144,2.8634265456324144,0,Day 4\Tray 4\overlays\DJI_20260702125620_0004_visible_emergence_overlay.jpg,Day 4\Tray 4\masks\DJI_20260702125620_0004_green_mask.png,PASS,Observed values only; no Day 7 imputation performed.
4,Day 4,2/07/2026,5,3,1,Tray 5,5,M,Microbes,Moisture,Inside,Inside,Fixed,Scheduled watering,N/A,No,Dry period after Day 3 watering,No,DJI_20260702125757_0005,70,100,70,100,0,0,0,3.14050088,3.14050088,0,Day 4\Tray 5\overlays\DJI_20260702125757_0005_visible_emergence_overlay.jpg,Day 4\Tray 5\masks\DJI_20260702125757_0005_green_mask.png,PASS,Observed values only; no Day 7 imputation performed.
4,Day 4,2/07/2026,5,3,1,Tray 6,6,M,Microbes,Heat,Dynamic,Outside,Dynamic,Daily watering,Outside heat exposure,Daily watering,Daily watering control,No,DJI_20260702125916_0006,67,95.71428571428572,67,95.71428571428572,2,2.857142857142857,0,2.827615495062532,2.827615495062532,0,Day 4\Tray 6\overlays\DJI_20260702125916_0006_visible_emergence_overlay.jpg,Day 4\Tray 6\masks\DJI_20260702125916_0006_green_mask.png,PASS,Observed values only; no Day 7 imputation performed.
4,Day 4,2/07/2026,5,3,1,Tray 7,7,M,Microbes,Ideal,Outside,Outside,Fixed,Daily watering,N/A,Daily watering,Daily watering control,No,DJI_20260702125959_0007,66,94.28571428571428,66,94.28571428571428,5,7.142857142857142,0,1.6757885398587113,1.6757885398587113,0,Day 4\Tray 7\overlays\DJI_20260702125959_0007_visible_emergence_overlay.jpg,Day 4\Tray 7\masks\DJI_20260702125959_0007_green_mask.png,PASS,Observed values only; no Day 7 imputation performed.
4,Day 4,2/07/2026,5,3,1,Tray 8,8,M,Microbes,Heat,Dynamic,Outside,Dynamic,Daily watering,Outside heat exposure,Daily watering,Daily watering control,No,DJI_20260702130043_0008,69,98.57142857142858,69,98.57142857142858,3,4.285714285714286,0,2.3375697633275485,2.3375697633275485,0,Day 4\Tray 8\overlays\DJI_20260702130043_0008_visible_emergence_overlay.jpg,Day 4\Tray 8\masks\DJI_20260702130043_0008_green_mask.png,PASS,Observed values only; no Day 7 imputation performed.
4,Day 4,2/07/2026,5,3,1,Tray 9,9,M,Microbes,Ideal,Inside,Inside,Fixed,Daily watering,N/A,Daily watering,Daily watering control,No,DJI_20260702130152_0009,67,95.71428571428572,67,95.71428571428572,1,1.4285714285714286,0,2.853117379964976,2.853117379964976,0,Day 4\Tray 9\overlays\DJI_20260702130152_0009_visible_emergence_overlay.jpg,Day 4\Tray 9\masks\DJI_20260702130152_0009_green_mask.png,PASS,Observed values only; no Day 7 imputation performed.
4,Day 4,2/07/2026,5,3,1,Tray 10,10,M,Microbes,Moisture,Outside,Outside,Fixed,Scheduled watering,N/A,No,Dry period after Day 3 watering,No,DJI_20260702130251_0010,58,82.85714285714286,60,85.71428571428571,12,17.142857142857142,2,0.8488495890952816,0.8488495890952816,0,Day 4\Tray 10\overlays\DJI_20260702130251_0010_visible_emergence_overlay.jpg,Day 4\Tray 10\masks\DJI_20260702130251_0010_green_mask.png,PASS,Observed values only; no Day 7 imputation performed.
4,Day 4,2/07/2026,5,3,1,Tray 11,11,N/M,No Microbes,Heat,Dynamic,Outside,Dynamic,Daily watering,Outside heat exposure,Daily watering,Daily watering control,No,DJI_20260702130331_0011,69,98.57142857142858,69,98.57142857142858,0,0,0,2.398273745193616,2.398273745193616,0,Day 4\Tray 11\overlays\DJI_20260702130331_0011_visible_emergence_overlay.jpg,Day 4\Tray 11\masks\DJI_20260702130331_0011_green_mask.png,PASS,Observed values only; no Day 7 imputation performed.
