day_order,day,calendar_date,days_since_planting,days_since_day1,days_since_previous_photo,tray,tray_no,label_code,microbe_status,treatment,label_environment,observed_environment,environment_type,watering_rule,heat_phase,moisture_watered_today,moisture_phase,day7_bug_rule_applies,capture_id,cell_id,row,column,x,y,square_x0,square_y0,square_x1,square_y1,square_side,raw_green_bool,raw_current_green_evidence,tracked_visible_emerged_bool,tracked_visible_emerged,newly_emerged_today,carried_forward_only,first_visible_emergence_day,first_visible_emergence_day_order,first_visible_emergence_date,disappeared_after_previous_emergence,possible_day7_bug_eaten_bool,possible_day7_bug_eaten,green_pixels,largest_green_component,green_area_percent,rgb_green_cover_percent,zone_pixels,coordinate_source,grid_error,grid_needs_review,notes
1,Day 1,29/06/2026,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,N/A,Daily watering,Daily watering control,No,DJI_20260629153749_0001,43,5,3,944.5944444,1543.605556,798.3546549,1397.365766,1090.834234,1689.845345,292.479579,FALSE,No,FALSE,No,No,No,,,,No,FALSE,No,0,0,0,0,85849,direct_cup_evidence,0.045028807,No,
1,Day 1,29/06/2026,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,N/A,Daily watering,Daily watering control,No,DJI_20260629153749_0001,44,5,4,1350.916667,1566.644444,1204.676877,1420.404655,1497.156456,1712.884234,292.479579,FALSE,No,FALSE,No,No,No,,,,No,FALSE,No,0,0,0,0,85556,direct_cup_evidence,0.128762401,No,
1,Day 1,29/06/2026,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,N/A,Daily watering,Daily watering control,No,DJI_20260629153749_0001,45,5,5,1702.783333,1531.038889,1556.543544,1384.799099,1849.023123,1677.278678,292.479579,FALSE,No,FALSE,No,No,No,,,,No,FALSE,No,0,0,0,0,85264,direct_cup_evidence,0.012697858,No,
1,Day 1,29/06/2026,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,N/A,Daily watering,Daily watering control,No,DJI_20260629153749_0001,46,5,6,2056.744444,1549.888889,1910.504655,1403.649099,2202.984234,1696.128678,292.479579,FALSE,No,FALSE,No,No,No,,,,No,FALSE,No,0,0,0,0,85264,direct_cup_evidence,0.105107806,No,
1,Day 1,29/06/2026,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,N/A,Daily watering,Daily watering control,No,DJI_20260629153749_0001,47,5,7,2460.972222,1528.944444,2314.732433,1382.704655,2607.212012,1675.184234,292.479579,FALSE,No,FALSE,No,No,No,,,,No,FALSE,No,0,0,0,0,85264,direct_cup_evidence,0.00263467,No,
1,Day 1,29/06/2026,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,N/A,Daily watering,Daily watering control,No,DJI_20260629153749_0001,48,5,8,2842.161111,1526.85,2695.921322,1380.61021,2988.400901,1673.08979,292.479579,FALSE,No,FALSE,No,No,No,,,,No,FALSE,No,0,0,0,0,85264,direct_cup_evidence,0.013615898,No,
1,Day 1,29/06/2026,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,N/A,Daily watering,Daily watering control,No,DJI_20260629153749_0001,49,5,9,3175.177778,1581.305556,3028.937988,1435.065766,3321.417567,1727.545345,292.479579,FALSE,No,FALSE,No,No,No,,,,No,FALSE,No,0,0,0,0,85556,direct_cup_evidence,0.208114239,No,
1,Day 1,29/06/2026,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,N/A,Daily watering,Daily watering control,No,DJI_20260629153749_0001,50,5,10,3596.161111,1522.661111,3449.921322,1376.421322,3742.400901,1668.900901,292.479579,FALSE,No,FALSE,No,No,No,,,,No,FALSE,No,0,0,0,0,85556,direct_cup_evidence,0.016296717,No,
1,Day 1,29/06/2026,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,N/A,Daily watering,Daily watering control,No,DJI_20260629153749_0001,51,6,1,224.1055556,1870.338889,77.86576603,1724.099099,370.3453451,2016.578678,292.479579,FALSE,No,FALSE,No,No,No,,,,No,FALSE,No,0,0,0,0,85556,direct_cup_evidence,0.082573409,No,
1,Day 1,29/06/2026,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,N/A,Daily watering,Daily watering control,No,DJI_20260629153749_0001,52,6,2,575.9722222,1853.583333,429.7324327,1707.343544,722.2120117,1999.823123,292.479579,FALSE,No,FALSE,No,No,No,,,,No,FALSE,No,0,0,0,0,85556,direct_cup_evidence,0.011833166,No,
1,Day 1,29/06/2026,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,N/A,Daily watering,Daily watering control,No,DJI_20260629153749_0001,53,6,3,957.1611111,1855.677778,810.9213216,1709.437988,1103.400901,2001.917567,292.479579,FALSE,No,FALSE,No,No,No,,,,No,FALSE,No,0,0,0,0,85556,direct_cup_evidence,0.009061817,No,
1,Day 1,29/06/2026,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,N/A,Daily watering,Daily watering control,No,DJI_20260629153749_0001,54,6,4,1327.877778,1857.772222,1181.637988,1711.532433,1474.117567,2004.012012,292.479579,FALSE,No,FALSE,No,No,No,,,,No,FALSE,No,0,0,0,0,85264,direct_cup_evidence,0.012591465,No,
1,Day 1,29/06/2026,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,N/A,Daily watering,Daily watering control,No,DJI_20260629153749_0001,55,6,5,1711.161111,1855.677778,1564.921322,1709.437988,1857.400901,2001.917567,292.479579,FALSE,No,FALSE,No,No,No,,,,No,FALSE,No,0,0,0,0,85556,direct_cup_evidence,0.00916716,No,
1,Day 1,29/06/2026,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,N/A,Daily watering,Daily watering control,No,DJI_20260629153749_0001,56,6,6,2088.161111,1805.411111,1941.921322,1659.171322,2234.400901,1951.650901,292.479579,FALSE,No,FALSE,No,No,No,,,,No,FALSE,No,0,0,0,0,85556,direct_cup_evidence,0.149500543,No,
1,Day 1,29/06/2026,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,N/A,Daily watering,Daily watering control,No,DJI_20260629153749_0001,57,6,7,2467.255556,1853.583333,2321.015766,1707.343544,2613.495345,1999.823123,292.479579,FALSE,No,FALSE,No,No,No,,,,No,FALSE,No,17,17,0.019870027,0.019870027,85556,direct_cup_evidence,0.015110467,No,
1,Day 1,29/06/2026,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,N/A,Daily watering,Daily watering control,No,DJI_20260629153749_0001,58,6,8,2846.35,1853.583333,2700.11021,1707.343544,2992.58979,1999.823123,292.479579,FALSE,No,FALSE,No,No,No,,,,No,FALSE,No,0,0,0,0,85849,direct_cup_evidence,0.021803437,No,
