file_no,file_name,relative_path,original_path,backup_path,source_used_for_rotation,rotation,original_width,original_height,new_width,new_height,status,notes
34,DJI_20260702125916_0006_MS_NIR.TIF,DJI_20260702125916_0006_MS_NIR.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\data\Third Trial\Day 4\DJI_20260702125916_0006_MS_NIR.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\00_Day4_Orientation_Fix\backup_original_day4_images\DJI_20260702125916_0006_MS_NIR.TIF,backup_original,CCW_90,2592,1944,1944,2592,ROTATED,Image was rotated 90 degrees counter-clockwise and replaced in place.
35,DJI_20260702125916_0006_MS_R.TIF,DJI_20260702125916_0006_MS_R.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\data\Third Trial\Day 4\DJI_20260702125916_0006_MS_R.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\00_Day4_Orientation_Fix\backup_original_day4_images\DJI_20260702125916_0006_MS_R.TIF,backup_original,CCW_90,2592,1944,1944,2592,ROTATED,Image was rotated 90 degrees counter-clockwise and replaced in place.
36,DJI_20260702125916_0006_MS_RE.TIF,DJI_20260702125916_0006_MS_RE.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\data\Third Trial\Day 4\DJI_20260702125916_0006_MS_RE.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\00_Day4_Orientation_Fix\backup_original_day4_images\DJI_20260702125916_0006_MS_RE.TIF,backup_original,CCW_90,2592,1944,1944,2592,ROTATED,Image was rotated 90 degrees counter-clockwise and replaced in place.
37,DJI_20260702125959_0007_D.JPG,DJI_20260702125959_0007_D.JPG,C:\Users\tshib\OneDrive\Desktop\Internship\data\Third Trial\Day 4\DJI_20260702125959_0007_D.JPG,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\00_Day4_Orientation_Fix\backup_original_day4_images\DJI_20260702125959_0007_D.JPG,backup_original,CCW_90,5280,3956,3956,5280,ROTATED,Image was rotated 90 degrees counter-clockwise and replaced in place.
38,DJI_20260702125959_0007_F.JPG,DJI_20260702125959_0007_F.JPG,C:\Users\tshib\OneDrive\Desktop\Internship\data\Third Trial\Day 4\DJI_20260702125959_0007_F.JPG,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\00_Day4_Orientation_Fix\backup_original_day4_images\DJI_20260702125959_0007_F.JPG,backup_original,CCW_90,2592,1944,1944,2592,ROTATED,Image was rotated 90 degrees counter-clockwise and replaced in place.
39,DJI_20260702125959_0007_MS_G.TIF,DJI_20260702125959_0007_MS_G.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\data\Third Trial\Day 4\DJI_20260702125959_0007_MS_G.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\00_Day4_Orientation_Fix\backup_original_day4_images\DJI_20260702125959_0007_MS_G.TIF,backup_original,CCW_90,2592,1944,1944,2592,ROTATED,Image was rotated 90 degrees counter-clockwise and replaced in place.
40,DJI_20260702125959_0007_MS_NIR.TIF,DJI_20260702125959_0007_MS_NIR.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\data\Third Trial\Day 4\DJI_20260702125959_0007_MS_NIR.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\00_Day4_Orientation_Fix\backup_original_day4_images\DJI_20260702125959_0007_MS_NIR.TIF,backup_original,CCW_90,2592,1944,1944,2592,ROTATED,Image was rotated 90 degrees counter-clockwise and replaced in place.
41,DJI_20260702125959_0007_MS_R.TIF,DJI_20260702125959_0007_MS_R.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\data\Third Trial\Day 4\DJI_20260702125959_0007_MS_R.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\00_Day4_Orientation_Fix\backup_original_day4_images\DJI_20260702125959_0007_MS_R.TIF,backup_original,CCW_90,2592,1944,1944,2592,ROTATED,Image was rotated 90 degrees counter-clockwise and replaced in place.
42,DJI_20260702125959_0007_MS_RE.TIF,DJI_20260702125959_0007_MS_RE.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\data\Third Trial\Day 4\DJI_20260702125959_0007_MS_RE.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\00_Day4_Orientation_Fix\backup_original_day4_images\DJI_20260702125959_0007_MS_RE.TIF,backup_original,CCW_90,2592,1944,1944,2592,ROTATED,Image was rotated 90 degrees counter-clockwise and replaced in place.
43,DJI_20260702130043_0008_D.JPG,DJI_20260702130043_0008_D.JPG,C:\Users\tshib\OneDrive\Desktop\Internship\data\Third Trial\Day 4\DJI_20260702130043_0008_D.JPG,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\00_Day4_Orientation_Fix\backup_original_day4_images\DJI_20260702130043_0008_D.JPG,backup_original,CCW_90,5280,3956,3956,5280,ROTATED,Image was rotated 90 degrees counter-clockwise and replaced in place.
